token_id,token,frequency,amplitude
862,pure,0.549613,1.043464
863,class,-1.393455,1.023134
864,began,5.833548,0.972548
865,speaking,4.567923,1.081530
866,results,-4.000217,1.064875
867,relief,0.048401,1.077626
868,neat,2.126376,1.136034
869,rows,-2.013081,1.159443
870,stirred,-0.505071,1.104734
871,pot,-0.003737,1.047809
872,added,-1.188715,1.119566
873,salt,-2.377249,1.047120
874,soup,-0.443277,0.885383
875,driver,-1.277382,0.889782
876,turned,-7.077643,1.091366
877,wheel,4.589396,1.110628
878,sharply,-1.425276,0.994965
879,obstacle,0.139497,0.914492
880,singer,2.043597,1.054793
881,performed,-1.772127,0.991013
882,thousands,3.500232,1.065195
883,dancer,1.959812,1.068498
884,timing,-0.666759,0.969361
885,painter,2.657083,0.968837
886,mixed,-1.344995,1.089846
887,palette,-5.507448,1.038597
888,creating,4.317443,1.084758
889,shades,0.728116,1.029947
